Customer Name,Time Posted,Rating /5,Review Content
Amit,2018-10-20,3,"Good speaker, Bad software"
Parag,2018-10-19,1,Very poor sound recognition.
Chinmaya D.,2018-10-15,5,My first Smart Speaker
Vishnu,2018-12-22,5,it’s amazing just read my review
Rajiv p.,2018-10-15,4,Stunner!
Geetha Swapnika Duggineni,2018-11-19,1,Worst software. I'm totally disappointed with Alexa.
Aritra Daspoddar,2019-02-19,4,A real competition to Google Home mini
FiveMinutesOfAdi,2018-10-26,5,"Finally, a smart ""speaker"""
Rimple Sethi,2018-10-21,2,Good music player but poor assistant
Amrish,2018-10-15,1,it does not support fire TV
Amit,2018-10-20,3,Best at what it does..
Sharpbhushan,2018-11-10,5,it's a worth buying
mohsin(Genuine Review,2018-10-28,1,Cons
Gems,2019-10-04,1,Google is infinitely better
Anoop varghese,2018-12-02,1,Waste product
Ramkumar R,2018-11-07,5,"Bought it once, Will Buy it Again and Again"
Akash Kotak,2018-11-02,1,"Great Functionality , speaker quality is horrible"
KANASU,2018-11-03,4,DIFFICULT TO INSTAL Now OK after tech support by a well Trained personnel
Vikas Singh,2020-08-04,3,Not that useful
Anirban Bhattacharya,2018-10-20,5,Just awesome..am loving it
Amit,2018-10-20,3,Beauty with beast features😍😍😍😘😘
Sujoy Dhawa,2018-10-19,5,Bang for buck!
BhaveshB.O.T™,2019-07-21,4,Amazon's entry-level Echo is still one of its best 😍
jyoti mishra,2018-12-05,1,It is only a good hands free speaker...thats all
Secret Senpai,2019-05-20,1,A BIG NO
Thakur Ankur Kumar Pratap singh,2020-08-08,5,I recommend one more accessory
jereenalex,2018-10-16,5,Alexa is smart and intelligent
Raju Konga,2018-10-24,3,Not up to the expectations
Vijay Kumar,2019-10-12,1,Amazon is selling an experimental product.
Lokesh Jain,2018-10-21,5,It's as a good as the user
Amit,2018-10-20,3,Cumbersome and not at all user friendly
Mathematech,2018-11-04,3,Disappointed due to change in power cable type
Koshy George,2018-12-12,5,A great gift to give to elderly people who can't use phones easily.
Munnagkumar Anne,2019-04-15,5,Alexa is better than human being! Best buy ever!
Ramesh M,2019-06-24,4,Another Lady at home
ARNPRASAD,2020-08-07,5,Combo with smart bulb reaches US deal price!!!!
Aakarsh,2019-05-14,2,Do Not Buy!
Shahab.,2019-02-15,1,Superbly over-promised and hugely underperforming electronic equipment.
Tausif,2019-09-30,1,"Mine is Ruined One, Hope you got better one"
koolbluez,2019-04-05,5,"Alexa, play me my ""Prime"" music"
Amit,2018-10-20,3,"Echo Dot never plays original songs, (No way to attach Audio Files)"
Jake,2018-11-01,3,GOOD SOUND QUALITY FOR IT'S SIZE
Ajit Kumar,2019-07-14,4,Affordable Smart Speaker : Intelligent and Smart
Singam,2020-07-02,5,"Loved sound quality, it's awesome"
Abhinav Jaiswal,2018-10-31,5,Great Product....!!
Sreedhar Surya,2018-11-05,5,Superb
Vengadesh Rengaramanujam,2019-10-10,3,Good product with a poor AI. Needs lots of improvement in its design.
Sneha Pathak,2018-11-03,4,4 stars to Alexa
Sunil k.,2019-02-03,1,Waste of product
Mohammed Rafiq Natty,2020-07-21,4,Superior speaker with most advanced voice recognition. It doesn't not support YouTube.
