Movie Name,Release Year,Certificate,Total Runtime(mins),Genre,IMDB Rating,Metascore,Votes,Gross Collection($ and M)
The Shawshank Redemption,1994,A,142,Drama,9.3,80,"2,429,071",28.34
The Godfather,1972,A,175,"Crime,Drama",9.2,100,"1,681,524",134.97
Soorarai Pottru,2020,U,153,Drama,9.1,nan,"85,794",nan
The Dark Knight,2008,UA,152,"Action,Crime,Drama",9.0,84,"2,384,930",534.86
The Godfather: Part II,1974,A,202,"Crime,Drama",9.0,90,"1,167,164",57.30
12 Angry Men,1957,U,96,"Crime,Drama",9.0,96,"716,987",4.36
Dara iz Jasenovca,2020,R,130,"Drama,War",8.9,nan,"36,532",nan
The Lord of the Rings: The Return of the King,2003,U,201,"Action,Adventure,Drama",8.9,94,"1,690,021",377.85
Pulp Fiction,1994,A,154,"Crime,Drama",8.9,94,"1,884,689",107.93
Schindler's List,1993,A,195,"Biography,Drama,History",8.9,94,"1,250,338",96.90
Inception,2010,UA,148,"Action,Adventure,Sci-Fi",8.8,74,"2,140,597",292.58
Fight Club,1999,A,139,Drama,8.8,66,"1,915,790",37.03
The Lord of the Rings: The Fellowship of the Ring,2001,U,178,"Action,Adventure,Drama",8.8,92,"1,711,286",315.54
Forrest Gump,1994,UA,142,"Drama,Romance",8.8,82,"1,877,368",330.25
"Il buono, il brutto, il cattivo",1966,A,161,Western,8.8,90,"708,584",6.10
The Lord of the Rings: The Two Towers,2002,UA,179,"Action,Adventure,Drama",8.7,87,"1,528,173",342.55
The Matrix,1999,A,136,"Action,Sci-Fi",8.7,73,"1,730,143",171.48
Goodfellas,1990,A,146,"Biography,Crime,Drama",8.7,90,"1,055,203",46.84
Star Wars: Episode V - The Empire Strikes Back,1980,UA,124,"Action,Adventure,Fantasy",8.7,82,"1,191,429",290.48
One Flew Over the Cuckoo's Nest,1975,A,133,Drama,8.7,84,"943,509",112.00
Gisaengchung,2019,A,132,"Comedy,Drama,Thriller",8.6,96,"635,385",53.37
Drishyam 2,2021,13,152,"Crime,Drama,Thriller",8.6,nan,"29,144",nan
Interstellar,2014,UA,169,"Adventure,Drama,Sci-Fi",8.6,74,"1,586,004",188.02
Cidade de Deus,2002,A,130,"Crime,Drama",8.6,79,"715,080",7.56
Sen to Chihiro no kamikakushi,2001,U,125,"Animation,Adventure,Family",8.6,96,"681,743",10.06
Saving Private Ryan,1998,A,169,"Drama,War",8.6,91,"1,276,819",216.54
The Green Mile,1999,UA,189,"Crime,Drama,Fantasy",8.6,61,"1,188,227",136.80
La vita è bella,1997,U,116,"Comedy,Drama,Romance",8.6,59,"643,562",57.60
Se7en,1995,A,127,"Crime,Drama,Mystery",8.6,65,"1,496,132",100.13
The Silence of the Lambs,1991,A,118,"Crime,Drama,Thriller",8.6,85,"1,314,706",130.74
Star Wars,1977,UA,121,"Action,Adventure,Fantasy",8.6,90,"1,263,552",322.74
Seppuku,1962,nan,133,"Action,Drama,Mystery",8.6,85,"46,806",nan
Shichinin no samurai,1954,U,207,"Action,Adventure,Drama",8.6,98,"324,705",0.27
It's a Wonderful Life,1946,PG,130,"Drama,Family,Fantasy",8.6,89,"417,603",nan
Ratsasan,2018,UA,170,"Action,Crime,Mystery",8.5,nan,"32,747",nan
Whiplash,2014,A,106,"Drama,Music",8.5,88,"750,909",13.09
The Intouchables,2011,UA,112,"Biography,Comedy,Drama",8.5,57,"786,941",13.18
The Prestige,2006,U,130,"Drama,Mystery,Sci-Fi",8.5,66,"1,229,550",53.09
The Departed,2006,A,151,"Crime,Drama,Thriller",8.5,85,"1,226,245",132.38
The Pianist,2002,13,150,"Biography,Drama,Music",8.5,85,"759,689",32.57
Gladiator,2000,UA,155,"Action,Adventure,Drama",8.5,67,"1,382,727",187.71
American History X,1998,R,119,Drama,8.5,62,"1,057,569",6.72
The Usual Suspects,1995,A,106,"Crime,Mystery,Thriller",8.5,77,"1,017,892",23.34
Léon,1994,A,110,"Action,Crime,Drama",8.5,64,"1,068,059",19.50
The Lion King,1994,U,88,"Animation,Adventure,Drama",8.5,88,"971,912",422.78
Terminator 2: Judgment Day,1991,A,137,"Action,Sci-Fi",8.5,75,"1,022,876",204.84
Nuovo Cinema Paradiso,1988,U,155,"Drama,Romance",8.5,80,"241,371",11.99
Hotaru no haka,1988,U,89,"Animation,Drama,War",8.5,94,"247,496",nan
Back to the Future,1985,U,116,"Adventure,Comedy,Sci-Fi",8.5,87,"1,097,434",210.61
Once Upon a Time in the West,1968,U,165,Western,8.5,80,"310,575",5.32
The Shawshank Redemption,1994,A,142,Drama,9.3,80,"2,429,071",28.34
The Godfather,1972,A,175,"Crime,Drama",9.2,100,"1,681,524",134.97
Soorarai Pottru,2020,U,153,Drama,9.1,nan,"85,794",nan
The Dark Knight,2008,UA,152,"Action,Crime,Drama",9.0,84,"2,384,930",534.86
The Godfather: Part II,1974,A,202,"Crime,Drama",9.0,90,"1,167,164",57.30
12 Angry Men,1957,U,96,"Crime,Drama",9.0,96,"716,987",4.36
Dara iz Jasenovca,2020,R,130,"Drama,War",8.9,nan,"36,532",nan
