id,question,votes,tags
1054558,Vertically align text to top within a UILabel,2259,"ios, cocoa-touch, uikit, uilabel, text-alignment"
588866,What's the difference between the atomic and nonatomic attributes?,1891,"ios, objective-c, properties, atomic, nonatomic"
1126726,How can I make a UITextField move up when the keyboard is present - on starting to edit?,1737,"ios, objective-c, uiscrollview, uitextfield, uikeyboard"
18746929,Using Auto Layout in UITableView for dynamic cell layouts & variable row heights,1559,"ios, uitableview, autolayout, row-height"
31254725,Transport security has blocked a cleartext HTTP,1522,"ios, xcode, ios9, ios10, app-transport-security"
5210535,Passing data between view controllers,1427,"ios, objective-c, swift, model-view-controller, uiviewcontroller"
1083701,How to check for an active Internet connection on iOS or macOS?,1358,"ios, macos, cocoa, cocoa-touch, reachability"
805547,How do I sort an NSMutableArray with custom objects in it?,1293,"ios, objective-c, sorting, cocoa-touch, nsmutablearray"
7017281,performSelector may cause a leak because its selector is unknown,1280,"ios, objective-c, memory-leaks, automatic-ref-counting"
2753956,How do I check if a string contains another string in Objective-C?,1243,"ios, objective-c, string, range, substring"
3088059,"Xcode - How to fix 'NSUnknownKeyException', reason: … this class is not key value coding-compliant for the key X"" error?",1238,"ios, macos, cocoa, cocoa-touch, interface-builder"
190908,How can I disable the UITableView selection?,1227,"ios, uitableview, cocoa-touch"
22358,How can I develop for iPhone using a Windows development machine?,1222,"ios, iphone, windows"
238980,How to change the name of an iOS app?,1043,"ios, xcode"
17678881,How to change Status Bar text color in iOS,1037,"ios, swift, ios7, statusbar, uistatusbar"
538996,Constants in Objective-C,1026,"ios, objective-c, cocoa, nsstring, constants"
12622424,How do I animate constraint changes?,995,"ios, objective-c, animation, autolayout, ios6"
901357,How do I convert an NSString value to NSData?,933,"ios, objective-c, nsstring, nsdata"
30736932,Xcode error “Could not find Developer Disk Image”,889,"ios, iphone, xcode"
3339722,How to check iOS version?,876,"ios, objective-c"
32821189,Xcode 7 error: “Missing iOS Distribution signing identity for …”,844,"ios, xcode, app-store-connect, code-signing, testflight"
