question,votes,tags
Vertically align text to top within a UILabel,2259,"ios, cocoa-touch, uikit, uilabel, text-alignment"
What's the difference between the atomic and nonatomic attributes?,1891,"ios, objective-c, properties, atomic, nonatomic"
How can I make a UITextField move up when the keyboard is present - on starting to edit?,1737,"ios, objective-c, uiscrollview, uitextfield, uikeyboard"
Using Auto Layout in UITableView for dynamic cell layouts & variable row heights,1559,"ios, uitableview, autolayout, row-height"
Transport security has blocked a cleartext HTTP,1522,"ios, xcode, ios9, ios10, app-transport-security"
Passing data between view controllers,1427,"ios, objective-c, swift, model-view-controller, uiviewcontroller"
How to check for an active Internet connection on iOS or macOS?,1358,"ios, macos, cocoa, cocoa-touch, reachability"
How do I sort an NSMutableArray with custom objects in it?,1293,"ios, objective-c, sorting, cocoa-touch, nsmutablearray"
performSelector may cause a leak because its selector is unknown,1280,"ios, objective-c, memory-leaks, automatic-ref-counting"
How do I check if a string contains another string in Objective-C?,1243,"ios, objective-c, string, range, substring"
"Xcode - How to fix 'NSUnknownKeyException', reason: … this class is not key value coding-compliant for the key X"" error?",1238,"ios, macos, cocoa, cocoa-touch, interface-builder"
How can I disable the UITableView selection?,1227,"ios, uitableview, cocoa-touch"
How can I develop for iPhone using a Windows development machine?,1222,"ios, iphone, windows"
How to change the name of an iOS app?,1043,"ios, xcode"
How to change Status Bar text color in iOS,1037,"ios, swift, ios7, statusbar, uistatusbar"
Constants in Objective-C,1026,"ios, objective-c, cocoa, nsstring, constants"
How do I animate constraint changes?,995,"ios, objective-c, animation, autolayout, ios6"
How do I convert an NSString value to NSData?,933,"ios, objective-c, nsstring, nsdata"
Xcode error “Could not find Developer Disk Image”,889,"ios, iphone, xcode"
How to check iOS version?,876,"ios, objective-c"
Xcode 7 error: “Missing iOS Distribution signing identity for …”,844,"ios, xcode, app-store-connect, code-signing, testflight"
Can I embed a custom font in an iPhone application?,782,"ios, cocoa-touch, fonts"
Xcode process launch failed: Security,779,"ios, xcode, process, build"
Loaded nib but the 'view' outlet was not set,775,"ios, cocoa-touch, interface-builder, xib"
"How do you trigger a block after a delay, like -performSelector:withObject:afterDelay:?",756,"ios, objective-c, grand-central-dispatch, objective-c-blocks"
How do I create delegates in Objective-C?,755,"ios, objective-c, cocoa, callback, delegates"
Eliminate extra separators below UITableView,750,"ios, uitableview, cocoa-touch"
Placeholder in UITextView,740,"ios, objective-c, cocoa-touch, uitextview, placeholder"
How to link to apps on the app store,734,"ios, objective-c, app-store"
Hide strange unwanted Xcode logs,730,"ios, xcode, logging, xcode8, ios10"
Xcode 6: Keyboard does not show up in simulator,721,"ios, keyboard, ios-simulator"
This action could not be completed. Try Again (-22421),706,"ios, xcode, app-store-connect"
Version vs build in Xcode,683,"ios, xcode"
iOS 8 UITableView separator inset 0 not working,672,"ios, objective-c, swift, uitableview, ios8"
How do I test if a string is empty in Objective-C?,668,"ios, objective-c, nsstring"
Why is there extra padding at the top of my UITableView with style UITableViewStyleGrouped in iOS7,665,"ios, uitableview, ios7"
Attempt to present UIViewController on UIViewController whose view is not in the window hierarchy,630,"ios, cocoa-touch, ios6, views, hierarchy"
Xcode 6 Bug: Unknown class in Interface Builder file,623,"ios, xcode, xcode6, interface-builder, uistoryboard"
Send and receive messages through NSNotificationCenter in Objective-C?,619,"ios, objective-c, nsnotificationcenter"
